0.01.116.573 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.04.383.678 I srv  llama_server: model loaded
0.41.662.180 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.23, t =   4.31 s / 950.08 tokens per second
3.38.847.007 I slot print_timing: id  0 | task 1161 |        eval time =   67499.57 ms /  3224 tokens (   20.94 ms per token,    47.75 tokens per second)
3.38.847.009 I slot print_timing: id  0 | task 1161 |       total time =   84041.24 ms / 16199 tokens
3.38.847.010 I slot print_timing: id  0 | task 1161 |    graphs reused =       2136
3.38.847.015 I slot print_timing: id  0 | task 1161 | draft acceptance = 0.72337 ( 2207 accepted /  3051 generated), mean len =  3.17
3.43.744.936 I slot print_timing: id  0 | task 2189 | prompt processing, n_tokens =   4096, progress = 0.71, t =   4.61 s / 887.59 tokens per second
3.46.178.986 I slot print_timing: id  0 | task 2189 | prompt processing, n_tokens =   6144, progress = 0.86, t =   7.04 s / 872.40 tokens per second
3.48.103.283 I slot print_timing: id  0 | task 2189 | prompt processing, n_tokens =   7684, progress = 0.97, t =   9.06 s / 847.68 tokens per second
3.48.418.529 I slot print_timing: id  0 | task 2189 | prompt processing, n_tokens =   7819, progress = 0.98, t =   9.40 s / 831.45 tokens per second
3.48.838.504 I slot print_timing: id  0 | task 2189 | prompt processing, n_tokens =   8075, progress = 1.00, t =   9.78 s / 825.56 tokens per second
3.52.103.797 I slot print_timing: id  0 | task 2189 | n_gen =    149, tg =  48.80 t/s, tg_3s =  49.13 t/s
3.55.152.080 I slot print_timing: id  0 | task 2189 | n_gen =    340, tg =  55.75 t/s, tg_3s =  62.66 t/s
3.58.199.735 I slot print_timing: id  0 | task 2189 | n_gen =    527, tg =  57.62 t/s, tg_3s =  61.36 t/s
4.01.255.517 I slot print_timing: id  0 | task 2189 | n_gen =    705, tg =  57.78 t/s, tg_3s =  58.25 t/s
4.04.312.875 I slot print_timing: id  0 | task 2189 | n_gen =    892, tg =  58.46 t/s, tg_3s =  61.16 t/s
4.07.363.564 I slot print_timing: id  0 | task 2189 | n_gen =   1055, tg =  57.62 t/s, tg_3s =  53.43 t/s
4.10.365.243 I slot print_timing: id  0 | task 2189 | n_gen =   1241, tg =  58.23 t/s, tg_3s =  61.97 t/s
4.13.369.923 I slot print_timing: id  0 | task 2189 | n_gen =   1414, tg =  58.15 t/s, tg_3s =  57.58 t/s
4.16.375.623 I slot print_timing: id  0 | task 2189 | n_gen =   1583, tg =  57.94 t/s, tg_3s =  56.23 t/s
4.19.393.886 I slot print_timing: id  0 | task 2189 | n_gen =   1765, tg =  58.17 t/s, tg_3s =  60.30 t/s
4.22.413.470 I slot print_timing: id  0 | task 2189 | n_gen =   1939, tg =  58.12 t/s, tg_3s =  57.62 t/s
4.25.430.780 I slot print_timing: id  0 | task 2189 | n_gen =   2106, tg =  57.89 t/s, tg_3s =  55.35 t/s
4.28.450.254 I slot print_timing: id  0 | task 2189 | n_gen =   2260, tg =  57.37 t/s, tg_3s =  51.00 t/s
4.31.473.102 I slot print_timing: id  0 | task 2189 | n_gen =   2424, tg =  57.14 t/s, tg_3s =  54.25 t/s
4.34.502.693 I slot print_timing: id  0 | task 2189 | n_gen =   2586, tg =  56.90 t/s, tg_3s =  53.47 t/s
4.37.537.921 I slot print_timing: id  0 | task 2189 | n_gen =   2753, tg =  56.78 t/s, tg_3s =  55.02 t/s
4.40.577.630 I slot print_timing: id  0 | task 2189 | n_gen =   2928, tg =  56.83 t/s, tg_3s =  57.57 t/s
4.43.615.327 I slot print_timing: id  0 | task 2189 | n_gen =   3100, tg =  56.82 t/s, tg_3s =  56.62 t/s
4.46.654.130 I slot print_timing: id  0 | task 2189 | n_gen =   3254, tg =  56.49 t/s, tg_3s =  50.68 t/s
4.49.695.099 I slot print_timing: id  0 | task 2189 | n_gen =   3386, tg =  55.84 t/s, tg_3s =  43.41 t/s
4.52.741.534 I slot print_timing: id  0 | task 2189 | n_gen =   3506, tg =  55.05 t/s, tg_3s =  39.39 t/s
4.55.794.517 I slot print_timing: id  0 | task 2189 | n_gen =   3649, tg =  54.67 t/s, tg_3s =  46.84 t/s
4.58.850.697 I slot print_timing: id  0 | task 2189 | n_gen =   3801, tg =  54.46 t/s, tg_3s =  49.74 t/s
5.01.904.502 I slot print_timing: id  0 | task 2189 | n_gen =   3927, tg =  53.90 t/s, tg_3s =  41.26 t/s
5.04.966.862 I slot print_timing: id  0 | task 2189 | n_gen =   4089, tg =  53.86 t/s, tg_3s =  52.90 t/s
5.05.159.798 I slot print_timing: id  0 | task 2189 | prompt eval time =   10132.42 ms /  8079 tokens (    1.25 ms per token,   797.34 tokens per second)
5.05.159.806 I slot print_timing: id  0 | task 2189 |        eval time =   76088.66 ms /  4096 tokens (   18.58 ms per token,    53.82 tokens per second)
5.05.159.808 I slot print_timing: id  0 | task 2189 |       total time =   86221.08 ms / 12175 tokens
5.05.159.811 I slot print_timing: id  0 | task 2189 |    graphs reused =       3302
5.05.159.818 I slot print_timing: id  0 | task 2189 | draft acceptance = 0.81977 ( 2911 accepted /  3551 generated), mean len =  3.46
5.10.441.257 I slot print_timing: id  0 | task 3381 | prompt processing, n_tokens =   4096, progress = 0.79, t =   5.00 s / 820.00 tokens per second
5.11.810.563 I slot print_timing: id  0 | task 3381 | prompt processing, n_tokens =   5124, progress = 0.84, t =   6.50 s / 788.26 tokens per second
5.14.611.865 I slot print_timing: id  0 | task 3381 | prompt processing, n_tokens =   7172, progress = 0.93, t =   9.14 s / 784.48 tokens per second
5.16.229.606 I slot print_timing: id  0 | task 3381 | prompt processing, n_tokens =   8367, progress = 0.99, t =  10.84 s / 771.91 tokens per second
5.16.686.894 I slot print_timing: id  0 | task 3381 | prompt processing, n_tokens =   8623, progress = 1.00, t =  11.33 s / 761.13 tokens per second
5.19.999.043 I slot print_timing: id  0 | task 3381 | n_gen =    118, tg =  38.74 t/s, tg_3s =  39.07 t/s
5.23.033.267 I slot print_timing: id  0 | task 3381 | n_gen =    274, tg =  45.09 t/s, tg_3s =  51.41 t/s
5.26.070.969 I slot print_timing: id  0 | task 3381 | n_gen =    431, tg =  47.29 t/s, tg_3s =  51.68 t/s
5.29.110.472 I slot print_timing: id  0 | task 3381 | n_gen =    584, tg =  48.06 t/s, tg_3s =  50.34 t/s
5.32.150.594 I slot print_timing: id  0 | task 3381 | n_gen =    742, tg =  48.84 t/s, tg_3s =  51.97 t/s
5.35.190.667 I slot print_timing: id  0 | task 3381 | n_gen =    875, tg =  47.99 t/s, tg_3s =  43.75 t/s
5.38.241.882 I slot print_timing: id  0 | task 3381 | n_gen =   1052, tg =  49.43 t/s, tg_3s =  58.01 t/s
5.41.294.099 I slot print_timing: id  0 | task 3381 | n_gen =   1222, tg =  50.22 t/s, tg_3s =  55.70 t/s
5.44.353.759 I slot print_timing: id  0 | task 3381 | n_gen =   1388, tg =  50.67 t/s, tg_3s =  54.25 t/s
5.47.415.421 I slot print_timing: id  0 | task 3381 | n_gen =   1547, tg =  50.79 t/s, tg_3s =  51.93 t/s
5.50.476.752 I slot print_timing: id  0 | task 3381 | n_gen =   1692, tg =  50.48 t/s, tg_3s =  47.37 t/s
5.53.544.448 I slot print_timing: id  0 | task 3381 | n_gen =   1845, tg =  50.43 t/s, tg_3s =  49.87 t/s
5.56.556.189 I slot print_timing: id  0 | task 3381 | n_gen =   2008, tg =  50.71 t/s, tg_3s =  54.12 t/s
5.59.564.637 I slot print_timing: id  0 | task 3381 | n_gen =   2160, tg =  50.70 t/s, tg_3s =  50.52 t/s
6.02.573.802 I slot print_timing: id  0 | task 3381 | n_gen =   2320, tg =  50.86 t/s, tg_3s =  53.17 t/s
6.05.583.444 I slot print_timing: id  0 | task 3381 | n_gen =   2489, tg =  51.19 t/s, tg_3s =  56.15 t/s
6.08.586.686 I slot print_timing: id  0 | task 3381 | n_gen =   2610, tg =  50.55 t/s, tg_3s =  40.29 t/s
6.11.601.552 I slot print_timing: id  0 | task 3381 | n_gen =   2775, tg =  50.78 t/s, tg_3s =  54.73 t/s
6.14.617.360 I slot print_timing: id  0 | task 3381 | n_gen =   2908, tg =  50.44 t/s, tg_3s =  44.10 t/s
6.17.635.118 I slot print_timing: id  0 | task 3381 | n_gen =   3054, tg =  50.33 t/s, tg_3s =  48.38 t/s
6.20.656.106 I slot print_timing: id  0 | task 3381 | n_gen =   3193, tg =  50.13 t/s, tg_3s =  46.01 t/s
6.23.680.349 I slot print_timing: id  0 | task 3381 | n_gen =   3344, tg =  50.12 t/s, tg_3s =  49.93 t/s
6.26.710.075 I slot print_timing: id  0 | task 3381 | n_gen =   3494, tg =  50.09 t/s, tg_3s =  49.51 t/s
6.29.741.143 I slot print_timing: id  0 | task 3381 | n_gen =   3653, tg =  50.19 t/s, tg_3s =  52.46 t/s
6.32.768.707 I slot print_timing: id  0 | task 3381 | n_gen =   3777, tg =  49.82 t/s, tg_3s =  40.96 t/s
6.35.800.250 I slot print_timing: id  0 | task 3381 | n_gen =   3885, tg =  49.28 t/s, tg_3s =  35.63 t/s
6.38.832.697 I slot print_timing: id  0 | task 3381 | n_gen =   4013, tg =  49.01 t/s, tg_3s =  42.21 t/s
6.41.523.992 I slot print_timing: id  0 | task 3381 | prompt eval time =   11747.59 ms /  8627 tokens (    1.36 ms per token,   734.36 tokens per second)
6.41.523.997 I slot print_timing: id  0 | task 3381 |        eval time =   84545.06 ms /  4119 tokens (   20.53 ms per token,    48.71 tokens per second)
6.41.523.998 I slot print_timing: id  0 | task 3381 |       total time =   96292.66 ms / 12746 tokens
6.41.523.999 I slot print_timing: id  0 | task 3381 |    graphs reused =       4523
6.41.524.003 I slot print_timing: id  0 | task 3381 | draft acceptance = 0.77482 ( 2880 accepted /  3717 generated), mean len =  3.32
8.51.702.376 I slot print_timing: id  0 | task 4628 | n_gen =    163, tg =  53.00 t/s, tg_3s =  53.32 t/s
8.54.761.101 I slot print_timing: id  0 | task 4628 | n_gen =    302, tg =  49.22 t/s, tg_3s =  45.44 t/s
8.57.768.991 I slot print_timing: id  0 | task 4628 | n_gen =    454, tg =  49.65 t/s, tg_3s =  50.53 t/s
9.00.775.156 I slot print_timing: id  0 | task 4628 | n_gen =    618, tg =  50.87 t/s, tg_3s =  54.55 t/s
9.03.794.206 I slot print_timing: id  0 | task 4628 | n_gen =    764, tg =  50.37 t/s, tg_3s =  48.36 t/s
9.06.816.291 I slot print_timing: id  0 | task 4628 | n_gen =    909, tg =  49.97 t/s, tg_3s =  47.98 t/s
9.09.852.424 I slot print_timing: id  0 | task 4628 | n_gen =   1062, tg =  50.03 t/s, tg_3s =  50.39 t/s
9.12.885.364 I slot print_timing: id  0 | task 4628 | n_gen =   1206, tg =  49.71 t/s, tg_3s =  47.48 t/s
9.15.923.707 I slot print_timing: id  0 | task 4628 | n_gen =   1354, tg =  49.60 t/s, tg_3s =  48.71 t/s
9.18.969.917 I slot print_timing: id  0 | task 4628 | n_gen =   1535, tg =  50.59 t/s, tg_3s =  59.42 t/s
9.22.016.407 I slot print_timing: id  0 | task 4628 | n_gen =   1705, tg =  51.06 t/s, tg_3s =  55.80 t/s
9.25.066.048 I slot print_timing: id  0 | task 4628 | n_gen =   1856, tg =  50.93 t/s, tg_3s =  49.51 t/s
9.28.119.690 I slot print_timing: id  0 | task 4628 | n_gen =   2020, tg =  51.15 t/s, tg_3s =  53.71 t/s
9.31.180.364 I slot print_timing: id  0 | task 4628 | n_gen =   2193, tg =  51.53 t/s, tg_3s =  56.52 t/s
9.34.246.515 I slot print_timing: id  0 | task 4628 | n_gen =   2366, tg =  51.86 t/s, tg_3s =  56.42 t/s
9.37.250.224 I slot print_timing: id  0 | task 4628 | n_gen =   2543, tg =  52.30 t/s, tg_3s =  58.93 t/s
9.40.257.847 I slot print_timing: id  0 | task 4628 | n_gen =   2702, tg =  52.33 t/s, tg_3s =  52.87 t/s
9.43.265.825 I slot print_timing: id  0 | task 4628 | n_gen =   2875, tg =  52.62 t/s, tg_3s =  57.51 t/s
9.46.279.559 I slot print_timing: id  0 | task 4628 | n_gen =   3040, tg =  52.73 t/s, tg_3s =  54.75 t/s
9.49.294.156 I slot print_timing: id  0 | task 4628 | n_gen =   3208, tg =  52.88 t/s, tg_3s =  55.73 t/s
9.52.318.293 I slot print_timing: id  0 | task 4628 | n_gen =   3364, tg =  52.82 t/s, tg_3s =  51.58 t/s
9.55.346.806 I slot print_timing: id  0 | task 4628 | n_gen =   3527, tg =  52.86 t/s, tg_3s =  53.82 t/s
9.58.378.148 I slot print_timing: id  0 | task 4628 | n_gen =   3689, tg =  52.89 t/s, tg_3s =  53.44 t/s
10.01.412.854 I slot print_timing: id  0 | task 4628 | n_gen =   3844, tg =  52.81 t/s, tg_3s =  51.08 t/s
10.04.453.123 I slot print_timing: id  0 | task 4628 | n_gen =   4015, tg =  52.95 t/s, tg_3s =  56.25 t/s
10.06.054.054 I slot print_timing: id  0 | task 4628 | prompt eval time =    1347.77 ms /   557 tokens (    2.42 ms per token,   413.28 tokens per second)
10.06.054.058 I slot print_timing: id  0 | task 4628 |        eval time =   77408.41 ms /  4096 tokens (   18.90 ms per token,    52.90 tokens per second)
10.06.054.060 I slot print_timing: id  0 | task 4628 |       total time =   78756.18 ms /  4653 tokens
10.06.054.062 I slot print_timing: id  0 | task 4628 |    graphs reused =       5671
10.06.054.066 I slot print_timing: id  0 | task 4628 | draft acceptance = 0.83805 ( 2929 accepted /  3495 generated), mean len =  3.51
10.11.590.141 I slot print_timing: id  0 | task 5799 | prompt processing, n_tokens =   4096, progress = 0.86, t =   5.23 s / 783.14 tokens per second
10.14.359.605 I slot print_timing: id  0 | task 5799 | prompt processing, n_tokens =   6144, progress = 0.94, t =   8.00 s / 768.42 tokens per second
10.16.221.771 I slot print_timing: id  0 | task 5799 | prompt processing, n_tokens =   7461, progress = 0.99, t =   9.98 s / 747.82 tokens per second
10.16.452.903 I slot print_timing: id  0 | task 5799 | prompt processing, n_tokens =   7505, progress = 0.99, t =  10.29 s / 729.34 tokens per second
10.16.925.799 I slot print_timing: id  0 | task 5799 | prompt processing, n_tokens =   7761, progress = 1.00, t =  10.66 s / 727.78 tokens per second
10.20.301.770 I slot print_timing: id  0 | task 5799 | n_gen =    141, tg =  45.92 t/s, tg_3s =  46.25 t/s
10.23.357.170 I slot print_timing: id  0 | task 5799 | n_gen =    285, tg =  46.53 t/s, tg_3s =  47.13 t/s
10.26.406.124 I slot print_timing: id  0 | task 5799 | n_gen =    415, tg =  45.23 t/s, tg_3s =  42.64 t/s
10.29.468.490 I slot print_timing: id  0 | task 5799 | n_gen =    548, tg =  44.78 t/s, tg_3s =  43.43 t/s
10.32.522.809 I slot print_timing: id  0 | task 5799 | n_gen =    672, tg =  43.94 t/s, tg_3s =  40.60 t/s
10.35.581.137 I slot print_timing: id  0 | task 5799 | n_gen =    785, tg =  42.78 t/s, tg_3s =  36.95 t/s
10.38.644.815 I slot print_timing: id  0 | task 5799 | n_gen =    937, tg =  43.76 t/s, tg_3s =  49.61 t/s
10.41.712.300 I slot print_timing: id  0 | task 5799 | n_gen =   1067, tg =  43.58 t/s, tg_3s =  42.38 t/s
10.44.775.114 I slot print_timing: id  0 | task 5799 | n_gen =   1211, tg =  43.96 t/s, tg_3s =  47.02 t/s
10.47.780.847 I slot print_timing: id  0 | task 5799 | n_gen =   1357, tg =  44.42 t/s, tg_3s =  48.57 t/s
10.50.788.283 I slot print_timing: id  0 | task 5799 | n_gen =   1501, tg =  44.73 t/s, tg_3s =  47.88 t/s
10.51.096.910 I slot print_timing: id  0 | task 5799 | prompt eval time =   11124.28 ms /  7765 tokens (    1.43 ms per token,   698.02 tokens per second)
10.51.096.913 I slot print_timing: id  0 | task 5799 |        eval time =   33843.67 ms /  1514 tokens (   22.37 ms per token,    44.71 tokens per second)
10.51.096.915 I slot print_timing: id  0 | task 5799 |       total time =   44967.95 ms /  9279 tokens
10.51.096.917 I slot print_timing: id  0 | task 5799 |    graphs reused =       6150
10.51.096.922 I slot print_timing: id  0 | task 5799 | draft acceptance = 0.70576 ( 1029 accepted /  1458 generated), mean len =  3.12
10.55.671.731 I slot print_timing: id  0 | task 6293 | n_gen =    165, tg =  54.29 t/s, tg_3s =  54.62 t/s
10.58.701.586 I slot print_timing: id  0 | task 6293 | n_gen =    348, tg =  57.35 t/s, tg_3s =  60.40 t/s
11.01.732.252 I slot print_timing: id  0 | task 6293 | n_gen =    517, tg =  56.82 t/s, tg_3s =  55.76 t/s
11.04.758.455 I slot print_timing: id  0 | task 6293 | n_gen =    661, tg =  54.51 t/s, tg_3s =  47.58 t/s
11.07.797.093 I slot print_timing: id  0 | task 6293 | n_gen =    831, tg =  54.80 t/s, tg_3s =  55.95 t/s
11.10.836.206 I slot print_timing: id  0 | task 6293 | n_gen =   1004, tg =  55.15 t/s, tg_3s =  56.92 t/s
11.13.880.528 I slot print_timing: id  0 | task 6293 | n_gen =   1161, tg =  54.64 t/s, tg_3s =  51.57 t/s
11.16.936.162 I slot print_timing: id  0 | task 6293 | n_gen =   1339, tg =  55.09 t/s, tg_3s =  58.25 t/s
11.19.982.615 I slot print_timing: id  0 | task 6293 | n_gen =   1493, tg =  54.59 t/s, tg_3s =  50.55 t/s
11.23.037.446 I slot print_timing: id  0 | task 6293 | n_gen =   1661, tg =  54.63 t/s, tg_3s =  54.99 t/s
11.26.039.306 I slot print_timing: id  0 | task 6293 | n_gen =   1831, tg =  54.81 t/s, tg_3s =  56.63 t/s
11.29.040.713 I slot print_timing: id  0 | task 6293 | n_gen =   1999, tg =  54.91 t/s, tg_3s =  55.97 t/s
11.32.106.403 I slot print_timing: id  0 | task 6293 | n_gen =   2166, tg =  54.87 t/s, tg_3s =  54.47 t/s
11.35.107.679 I slot print_timing: id  0 | task 6293 | n_gen =   2323, tg =  54.69 t/s, tg_3s =  52.31 t/s
11.38.111.173 I slot print_timing: id  0 | task 6293 | n_gen =   2478, tg =  54.49 t/s, tg_3s =  51.61 t/s
11.41.125.299 I slot print_timing: id  0 | task 6293 | n_gen =   2654, tg =  54.73 t/s, tg_3s =  58.39 t/s
11.44.136.199 I slot print_timing: id  0 | task 6293 | n_gen =   2794, tg =  54.25 t/s, tg_3s =  46.50 t/s
11.47.151.915 I slot print_timing: id  0 | task 6293 | n_gen =   2960, tg =  54.29 t/s, tg_3s =  55.04 t/s
11.50.170.103 I slot print_timing: id  0 | task 6293 | n_gen =   3109, tg =  54.03 t/s, tg_3s =  49.37 t/s
