0.00.251.880 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.00.605.102 I load_tensors:        CUDA0 model buffer size =     0.00 MiB
0.00.605.106 I load_tensors:    CUDA_Host model buffer size =     0.00 MiB
0.00.610.381 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.00.610.886 I llama_kv_cache:      CUDA0 KV buffer size =     0.00 MiB
0.00.613.013 I llama_memory_recurrent:      CUDA0 RS buffer size =   598.50 MiB
0.00.630.907 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.00.630.910 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.00.631.546 I common_memory_breakdown_print: | memory breakdown [MiB]  | total    free     self   model   context   compute    unaccounted |
0.00.631.549 I common_memory_breakdown_print: |   - CUDA0 (RTX 5060 Ti) | 15849 = 15099 + (14931 = 13061 +    1686 +     184) +      -14181 |
0.00.631.551 I common_memory_breakdown_print: |   - Host                |                    547 =   520 +       0 +      26                |
0.00.724.514 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.01.068.339 I load_tensors:        CUDA0 model buffer size =     0.00 MiB
0.01.068.341 I load_tensors:    CUDA_Host model buffer size =     0.00 MiB
0.01.072.221 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.01.072.483 I llama_kv_cache:      CUDA0 KV buffer size =     0.00 MiB
0.01.083.246 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.01.083.249 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.01.083.449 I common_memory_breakdown_print: | memory breakdown [MiB]  | total    free     self   model   context   compute    unaccounted |
0.01.083.451 I common_memory_breakdown_print: |   - CUDA0 (RTX 5060 Ti) | 15849 = 15699 + (13313 = 13061 +      68 +     184) +      -13163 |
0.01.083.453 I common_memory_breakdown_print: |   - Host                |                    547 =   520 +       0 +      26                |
0.01.131.110 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.01.168.825 I llama_model_loader: - kv  28:                qwen35.nextn_predict_layers u32              = 1
0.02.045.248 I load_tensors:   CPU_Mapped model buffer size =   521.00 MiB
0.02.045.249 I load_tensors:        CUDA0 model buffer size = 13061.10 MiB
0.04.219.139 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.04.219.662 I llama_kv_cache:      CUDA0 KV buffer size =  1088.00 MiB
0.04.224.144 I llama_memory_recurrent:      CUDA0 RS buffer size =   598.50 MiB
0.04.265.136 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.265.141 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.349.761 I llama_context:  CUDA_Host  output buffer size =     0.95 MiB
0.04.350.984 I llama_kv_cache:      CUDA0 KV buffer size =    68.00 MiB
0.04.378.598 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.378.602 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.447.152 I spec common_specu: adding speculative implementation 'draft-mtp'
0.04.447.158 I spec common_specu: - n_max=3, n_min=0, p_min=0.00, n_embd=5120, backend_sampling=1
0.04.447.161 I spec common_specu: - gpu_layers=0, cache_k=q8_0, cache_v=q8_0, ctx_tgt=yes, ctx_dft=yes, devices=[default]
0.04.475.586 I sched_reserve:      CUDA0 compute buffer size =   184.27 MiB
0.04.475.590 I sched_reserve:  CUDA_Host compute buffer size =    26.27 MiB
0.04.491.469 I srv  llama_server: model loaded
3.03.110.217 D spec common_specu: called impl draft-mtp, hist size = 39, call_count = 1, gen = 3
3.05.442.095 D spec common_specu: called impl draft-mtp, hist size = 172, call_count = 41, gen = 3
3.05.498.755 D spec common_specu: called impl draft-mtp, hist size = 174, call_count = 42, gen = 3
3.05.555.302 D spec common_specu: called impl draft-mtp, hist size = 177, call_count = 43, gen = 3
3.05.612.718 D spec common_specu: called impl draft-mtp, hist size = 181, call_count = 44, gen = 3
3.05.669.507 D spec common_specu: called impl draft-mtp, hist size = 185, call_count = 45, gen = 3
3.05.726.327 D spec common_specu: called impl draft-mtp, hist size = 189, call_count = 46, gen = 3
3.05.773.526 I slot print_timing: id  0 | task 0 | prompt eval time =     344.49 ms /    39 tokens (    8.83 ms per token,   113.21 tokens per second)
3.05.773.528 I slot print_timing: id  0 | task 0 |        eval time =    2673.48 ms /   154 tokens (   17.47 ms per token,    57.23 tokens per second)
3.05.773.530 I slot print_timing: id  0 | task 0 |       total time =    3017.97 ms /   193 tokens
3.05.773.536 I slot print_timing: id  0 | task 0 |    graphs reused =         46
3.05.773.540 I slot print_timing: id  0 | task 0 | draft acceptance = 0.78261 (  108 accepted /   138 generated), mean len =  3.35
3.05.773.542 I slot print_timing: id  0 | task 0 |      acc per pos = (0.935, 0.761, 0.652)
3.05.773.564 I spec common_specu: statistics        draft-mtp: #calls(b,g,a) =    1     46     46, #gen drafts =     46, #acc drafts =    43, #gen tokens =    138, #acc tokens =   108, #mean acc len = 3.35, #acc rate/pos = (0.935, 0.761, 0.652), dur(b,g,a) = 0.005, 465.183, 0.169 ms
6.44.380.683 I slot print_timing: id  0 | task 49 | prompt processing, n_tokens =   4096, progress = 0.23, t =   4.19 s / 977.71 tokens per second
6.46.599.442 I slot print_timing: id  0 | task 49 | prompt processing, n_tokens =   6144, progress = 0.35, t =   6.41 s / 959.25 tokens per second
6.48.867.613 I slot print_timing: id  0 | task 49 | prompt processing, n_tokens =   8192, progress = 0.47, t =   8.67 s / 945.27 tokens per second
6.51.195.005 I slot print_timing: id  0 | task 49 | prompt processing, n_tokens =  10240, progress = 0.59, t =  10.98 s / 932.26 tokens per second
6.53.586.384 I slot print_timing: id  0 | task 49 | prompt processing, n_tokens =  12288, progress = 0.70, t =  13.37 s / 918.83 tokens per second
6.56.039.285 I slot print_timing: id  0 | task 49 | prompt processing, n_tokens =  14336, progress = 0.82, t =  15.82 s / 906.21 tokens per second
6.58.548.995 I slot print_timing: id  0 | task 49 | prompt processing, n_tokens =  16384, progress = 0.94, t =  18.32 s / 894.21 tokens per second
6.59.657.806 I slot print_timing: id  0 | task 49 | prompt processing, n_tokens =  17239, progress = 0.99, t =  19.54 s / 882.24 tokens per second
7.00.085.423 I slot print_timing: id  0 | task 49 | prompt processing, n_tokens =  17495, progress = 1.00, t =  19.94 s / 877.17 tokens per second
7.00.357.395 D spec common_specu: called impl draft-mtp, hist size = 17499, call_count = 47, gen = 3
7.00.424.901 D spec common_specu: called impl draft-mtp, hist size = 17503, call_count = 48, gen = 3
7.00.499.073 D spec common_specu: called impl draft-mtp, hist size = 17507, call_count = 49, gen = 3
7.00.563.246 D spec common_specu: called impl draft-mtp, hist size = 17511, call_count = 50, gen = 3
7.00.627.973 D spec common_specu: called impl draft-mtp, hist size = 17515, call_count = 51, gen = 3
7.00.692.846 D spec common_specu: called impl draft-mtp, hist size = 17518, call_count = 52, gen = 3
7.00.757.419 D spec common_specu: called impl draft-mtp, hist size = 17522, call_count = 53, gen = 3
7.00.822.808 D spec common_specu: called impl draft-mtp, hist size = 17526, call_count = 54, gen = 3
7.00.889.751 D spec common_specu: called impl draft-mtp, hist size = 17530, call_count = 55, gen = 3
7.00.954.846 D spec common_specu: called impl draft-mtp, hist size = 17534, call_count = 56, gen = 3
7.01.019.474 D spec common_specu: called impl draft-mtp, hist size = 17536, call_count = 57, gen = 3
7.01.083.798 D spec common_specu: called impl draft-mtp, hist size = 17537, call_count = 58, gen = 3
7.01.147.949 D spec common_specu: called impl draft-mtp, hist size = 17538, call_count = 59, gen = 3
7.01.212.881 D spec common_specu: called impl draft-mtp, hist size = 17542, call_count = 60, gen = 3
7.01.277.212 D spec common_specu: called impl draft-mtp, hist size = 17544, call_count = 61, gen = 3
7.01.341.720 D spec common_specu: called impl draft-mtp, hist size = 17548, call_count = 62, gen = 3
7.01.405.618 D spec common_specu: called impl draft-mtp, hist size = 17550, call_count = 63, gen = 3
7.01.469.956 D spec common_specu: called impl draft-mtp, hist size = 17554, call_count = 64, gen = 3
7.01.534.079 D spec common_specu: called impl draft-mtp, hist size = 17555, call_count = 65, gen = 3
7.01.598.799 D spec common_specu: called impl draft-mtp, hist size = 17559, call_count = 66, gen = 3
7.01.664.785 D spec common_specu: called impl draft-mtp, hist size = 17563, call_count = 67, gen = 3
7.01.729.792 D spec common_specu: called impl draft-mtp, hist size = 17567, call_count = 68, gen = 3
7.01.794.293 D spec common_specu: called impl draft-mtp, hist size = 17571, call_count = 69, gen = 3
7.01.859.342 D spec common_specu: called impl draft-mtp, hist size = 17575, call_count = 70, gen = 3
7.01.924.593 D spec common_specu: called impl draft-mtp, hist size = 17578, call_count = 71, gen = 3
7.01.990.269 D spec common_specu: called impl draft-mtp, hist size = 17582, call_count = 72, gen = 3
7.02.055.566 D spec common_specu: called impl draft-mtp, hist size = 17586, call_count = 73, gen = 3
7.02.120.263 D spec common_specu: called impl draft-mtp, hist size = 17590, call_count = 74, gen = 3
7.02.185.169 D spec common_specu: called impl draft-mtp, hist size = 17594, call_count = 75, gen = 3
7.02.249.542 D spec common_specu: called impl draft-mtp, hist size = 17596, call_count = 76, gen = 3
7.02.314.028 D spec common_specu: called impl draft-mtp, hist size = 17599, call_count = 77, gen = 3
7.02.378.629 D spec common_specu: called impl draft-mtp, hist size = 17603, call_count = 78, gen = 3
7.02.443.002 D spec common_specu: called impl draft-mtp, hist size = 17607, call_count = 79, gen = 3
7.02.508.321 D spec common_specu: called impl draft-mtp, hist size = 17611, call_count = 80, gen = 3
7.02.573.300 D spec common_specu: called impl draft-mtp, hist size = 17615, call_count = 81, gen = 3
7.02.638.021 D spec common_specu: called impl draft-mtp, hist size = 17619, call_count = 82, gen = 3
7.02.702.774 D spec common_specu: called impl draft-mtp, hist size = 17623, call_count = 83, gen = 3
7.02.767.132 D spec common_specu: called impl draft-mtp, hist size = 17627, call_count = 84, gen = 3
7.02.832.378 D spec common_specu: called impl draft-mtp, hist size = 17631, call_count = 85, gen = 3
7.02.899.945 D spec common_specu: called impl draft-mtp, hist size = 17635, call_count = 86, gen = 3
7.02.965.273 D spec common_specu: called impl draft-mtp, hist size = 17639, call_count = 87, gen = 3
7.03.031.324 D spec common_specu: called impl draft-mtp, hist size = 17643, call_count = 88, gen = 3
7.03.097.631 D spec common_specu: called impl draft-mtp, hist size = 17647, call_count = 89, gen = 3
7.03.161.753 D spec common_specu: called impl draft-mtp, hist size = 17651, call_count = 90, gen = 3
7.03.227.146 D spec common_specu: called impl draft-mtp, hist size = 17655, call_count = 91, gen = 3
7.03.292.167 D spec common_specu: called impl draft-mtp, hist size = 17659, call_count = 92, gen = 3
7.03.346.654 I slot print_timing: id  0 | task 49 | n_gen =    165, tg =  54.62 t/s, tg_3s =  54.95 t/s
7.03.357.660 D spec common_specu: called impl draft-mtp, hist size = 17663, call_count = 93, gen = 3
7.03.425.761 D spec common_specu: called impl draft-mtp, hist size = 17667, call_count = 94, gen = 3
7.03.499.433 D spec common_specu: called impl draft-mtp, hist size = 17671, call_count = 95, gen = 3
7.03.563.897 D spec common_specu: called impl draft-mtp, hist size = 17675, call_count = 96, gen = 3
7.03.630.274 D spec common_specu: called impl draft-mtp, hist size = 17679, call_count = 97, gen = 3
7.03.695.248 D spec common_specu: called impl draft-mtp, hist size = 17683, call_count = 98, gen = 3
7.03.759.507 D spec common_specu: called impl draft-mtp, hist size = 17687, call_count = 99, gen = 3
7.03.824.857 D spec common_specu: called impl draft-mtp, hist size = 17691, call_count = 100, gen = 3
7.03.889.241 D spec common_specu: called impl draft-mtp, hist size = 17695, call_count = 101, gen = 3
7.03.954.654 D spec common_specu: called impl draft-mtp, hist size = 17699, call_count = 102, gen = 3
7.04.018.919 D spec common_specu: called impl draft-mtp, hist size = 17703, call_count = 103, gen = 3
7.04.083.373 D spec common_specu: called impl draft-mtp, hist size = 17707, call_count = 104, gen = 3
7.04.148.246 D spec common_specu: called impl draft-mtp, hist size = 17710, call_count = 105, gen = 3
7.04.212.677 D spec common_specu: called impl draft-mtp, hist size = 17714, call_count = 106, gen = 3
7.04.278.655 D spec common_specu: called impl draft-mtp, hist size = 17718, call_count = 107, gen = 3
7.04.343.382 D spec common_specu: called impl draft-mtp, hist size = 17722, call_count = 108, gen = 3
7.04.408.526 D spec common_specu: called impl draft-mtp, hist size = 17726, call_count = 109, gen = 3
7.04.473.471 D spec common_specu: called impl draft-mtp, hist size = 17729, call_count = 110, gen = 3
7.04.537.850 D spec common_specu: called impl draft-mtp, hist size = 17733, call_count = 111, gen = 3
7.04.602.259 D spec common_specu: called impl draft-mtp, hist size = 17737, call_count = 112, gen = 3
7.04.667.133 D spec common_specu: called impl draft-mtp, hist size = 17741, call_count = 113, gen = 3
7.04.731.742 D spec common_specu: called impl draft-mtp, hist size = 17745, call_count = 114, gen = 3
7.04.796.762 D spec common_specu: called impl draft-mtp, hist size = 17749, call_count = 115, gen = 3
7.04.862.359 D spec common_specu: called impl draft-mtp, hist size = 17753, call_count = 116, gen = 3
7.04.927.482 D spec common_specu: called impl draft-mtp, hist size = 17757, call_count = 117, gen = 3
7.04.993.341 D spec common_specu: called impl draft-mtp, hist size = 17761, call_count = 118, gen = 3
7.05.058.136 D spec common_specu: called impl draft-mtp, hist size = 17765, call_count = 119, gen = 3
7.05.123.036 D spec common_specu: called impl draft-mtp, hist size = 17769, call_count = 120, gen = 3
7.05.188.603 D spec common_specu: called impl draft-mtp, hist size = 17773, call_count = 121, gen = 3
7.05.253.447 D spec common_specu: called impl draft-mtp, hist size = 17777, call_count = 122, gen = 3
7.05.318.570 D spec common_specu: called impl draft-mtp, hist size = 17781, call_count = 123, gen = 3
7.05.384.009 D spec common_specu: called impl draft-mtp, hist size = 17785, call_count = 124, gen = 3
7.05.449.354 D spec common_specu: called impl draft-mtp, hist size = 17789, call_count = 125, gen = 3
7.05.513.908 D spec common_specu: called impl draft-mtp, hist size = 17793, call_count = 126, gen = 3
7.05.579.317 D spec common_specu: called impl draft-mtp, hist size = 17797, call_count = 127, gen = 3
7.05.644.096 D spec common_specu: called impl draft-mtp, hist size = 17801, call_count = 128, gen = 3
7.05.709.135 D spec common_specu: called impl draft-mtp, hist size = 17805, call_count = 129, gen = 3
7.05.774.390 D spec common_specu: called impl draft-mtp, hist size = 17809, call_count = 130, gen = 3
7.05.838.920 D spec common_specu: called impl draft-mtp, hist size = 17813, call_count = 131, gen = 3
7.05.903.522 D spec common_specu: called impl draft-mtp, hist size = 17817, call_count = 132, gen = 3
7.05.968.875 D spec common_specu: called impl draft-mtp, hist size = 17821, call_count = 133, gen = 3
7.06.033.507 D spec common_specu: called impl draft-mtp, hist size = 17825, call_count = 134, gen = 3
7.06.098.969 D spec common_specu: called impl draft-mtp, hist size = 17829, call_count = 135, gen = 3
7.06.163.391 D spec common_specu: called impl draft-mtp, hist size = 17833, call_count = 136, gen = 3
7.06.227.881 D spec common_specu: called impl draft-mtp, hist size = 17837, call_count = 137, gen = 3
7.06.293.121 D spec common_specu: called impl draft-mtp, hist size = 17841, call_count = 138, gen = 3
7.06.346.827 I slot print_timing: id  0 | task 49 | n_gen =    347, tg =  57.64 t/s, tg_3s =  60.66 t/s
7.06.357.700 D spec common_specu: called impl draft-mtp, hist size = 17845, call_count = 139, gen = 3
7.06.422.224 D spec common_specu: called impl draft-mtp, hist size = 17849, call_count = 140, gen = 3
7.06.486.687 D spec common_specu: called impl draft-mtp, hist size = 17853, call_count = 141, gen = 3
7.06.551.327 D spec common_specu: called impl draft-mtp, hist size = 17857, call_count = 142, gen = 3
7.06.617.244 D spec common_specu: called impl draft-mtp, hist size = 17861, call_count = 143, gen = 3
7.06.681.894 D spec common_specu: called impl draft-mtp, hist size = 17865, call_count = 144, gen = 3
7.06.746.552 D spec common_specu: called impl draft-mtp, hist size = 17869, call_count = 145, gen = 3
7.06.811.730 D spec common_specu: called impl draft-mtp, hist size = 17873, call_count = 146, gen = 3
7.06.876.483 D spec common_specu: called impl draft-mtp, hist size = 17877, call_count = 147, gen = 3
7.06.941.180 D spec common_specu: called impl draft-mtp, hist size = 17881, call_count = 148, gen = 3
7.07.005.519 D spec common_specu: called impl draft-mtp, hist size = 17882, call_count = 149, gen = 3
7.07.070.306 D spec common_specu: called impl draft-mtp, hist size = 17886, call_count = 150, gen = 3
7.07.135.246 D spec common_specu: called impl draft-mtp, hist size = 17890, call_count = 151, gen = 3
7.07.200.188 D spec common_specu: called impl draft-mtp, hist size = 17894, call_count = 152, gen = 3
7.07.265.231 D spec common_specu: called impl draft-mtp, hist size = 17898, call_count = 153, gen = 3
7.07.330.049 D spec common_specu: called impl draft-mtp, hist size = 17902, call_count = 154, gen = 3
7.07.395.846 D spec common_specu: called impl draft-mtp, hist size = 17906, call_count = 155, gen = 3
7.07.461.429 D spec common_specu: called impl draft-mtp, hist size = 17910, call_count = 156, gen = 3
7.07.528.568 D spec common_specu: called impl draft-mtp, hist size = 17914, call_count = 157, gen = 3
7.07.595.155 D spec common_specu: called impl draft-mtp, hist size = 17918, call_count = 158, gen = 3
7.07.663.955 D spec common_specu: called impl draft-mtp, hist size = 17922, call_count = 159, gen = 3
7.07.733.623 D spec common_specu: called impl draft-mtp, hist size = 17926, call_count = 160, gen = 3
7.07.798.487 D spec common_specu: called impl draft-mtp, hist size = 17930, call_count = 161, gen = 3
7.07.863.588 D spec common_specu: called impl draft-mtp, hist size = 17934, call_count = 162, gen = 3
7.07.930.574 D spec common_specu: called impl draft-mtp, hist size = 17938, call_count = 163, gen = 3
7.07.996.546 D spec common_specu: called impl draft-mtp, hist size = 17942, call_count = 164, gen = 3
7.08.062.475 D spec common_specu: called impl draft-mtp, hist size = 17946, call_count = 165, gen = 3
7.08.129.703 D spec common_specu: called impl draft-mtp, hist size = 17950, call_count = 166, gen = 3
7.08.195.937 D spec common_specu: called impl draft-mtp, hist size = 17954, call_count = 167, gen = 3
7.08.261.770 D spec common_specu: called impl draft-mtp, hist size = 17958, call_count = 168, gen = 3
7.08.329.986 D spec common_specu: called impl draft-mtp, hist size = 17962, call_count = 169, gen = 3
7.08.396.535 D spec common_specu: called impl draft-mtp, hist size = 17966, call_count = 170, gen = 3
7.08.461.558 D spec common_specu: called impl draft-mtp, hist size = 17970, call_count = 171, gen = 3
7.08.530.316 D spec common_specu: called impl draft-mtp, hist size = 17974, call_count = 172, gen = 3
7.08.595.493 D spec common_specu: called impl draft-mtp, hist size = 17978, call_count = 173, gen = 3
7.08.660.941 D spec common_specu: called impl draft-mtp, hist size = 17982, call_count = 174, gen = 3
7.08.729.153 D spec common_specu: called impl draft-mtp, hist size = 17986, call_count = 175, gen = 3
7.08.794.806 D spec common_specu: called impl draft-mtp, hist size = 17990, call_count = 176, gen = 3
7.08.860.176 D spec common_specu: called impl draft-mtp, hist size = 17992, call_count = 177, gen = 3
7.08.925.616 D spec common_specu: called impl draft-mtp, hist size = 17994, call_count = 178, gen = 3
7.08.990.455 D spec common_specu: called impl draft-mtp, hist size = 17996, call_count = 179, gen = 3
7.09.055.432 D spec common_specu: called impl draft-mtp, hist size = 17997, call_count = 180, gen = 3
7.09.120.026 D spec common_specu: called impl draft-mtp, hist size = 18000, call_count = 181, gen = 3
7.09.184.471 D spec common_specu: called impl draft-mtp, hist size = 18002, call_count = 182, gen = 3
7.09.249.019 D spec common_specu: called impl draft-mtp, hist size = 18004, call_count = 183, gen = 3
7.09.313.359 D spec common_specu: called impl draft-mtp, hist size = 18008, call_count = 184, gen = 3
7.09.367.439 I slot print_timing: id  0 | task 49 | n_gen =    514, tg =  56.85 t/s, tg_3s =  55.29 t/s
7.09.378.483 D spec common_specu: called impl draft-mtp, hist size = 18012, call_count = 185, gen = 3
7.09.443.740 D spec common_specu: called impl draft-mtp, hist size = 18016, call_count = 186, gen = 3
7.09.509.049 D spec common_specu: called impl draft-mtp, hist size = 18020, call_count = 187, gen = 3
7.09.573.764 D spec common_specu: called impl draft-mtp, hist size = 18024, call_count = 188, gen = 3
7.09.639.251 D spec common_specu: called impl draft-mtp, hist size = 18028, call_count = 189, gen = 3
7.09.704.354 D spec common_specu: called impl draft-mtp, hist size = 18032, call_count = 190, gen = 3
7.09.771.618 D spec common_specu: called impl draft-mtp, hist size = 18036, call_count = 191, gen = 3
7.09.836.184 D spec common_specu: called impl draft-mtp, hist size = 18040, call_count = 192, gen = 3
7.09.901.371 D spec common_specu: called impl draft-mtp, hist size = 18043, call_count = 193, gen = 3
7.09.966.402 D spec common_specu: called impl draft-mtp, hist size = 18047, call_count = 194, gen = 3
7.10.031.790 D spec common_specu: called impl draft-mtp, hist size = 18051, call_count = 195, gen = 3
